adm1_en,adm1_vi,shape_leng,shape_area,NO2_mean,NO2_trop_mean,SO2_mean
An Giang,An Giang,2.90074233985,0.292039907229,0.11677122116088867,0.03407091498374939,0.07152357697486877
Ba Ria - Vung Tau,Bà Rịa - Vũng Tàu,3.41918728888,0.163032760989,0.1308058798313141,0.047064583748579025,-0.011821284890174866
Bac Giang,Bắc Giang,4.51478648204,0.338748110343,0.19781804084777832,0.11009496450424194,0.10730847716331482
Bac Kan,Bắc Kạn,4.2075899114,0.425598326342,0.13069119056065878,0.043177311619122825,0.014279402792453766
Bac Lieu,Bạc Liêu,2.87920169302,0.204049934715,0.10615447908639908,0.02364952489733696,0.0753377303481102
Bac Ninh,Bắc Ninh,1.68575080274,0.0714984213726,0.19623000919818878,0.10872996598482132,0.24657142162322998
Ben Tre,Bến Tre,2.16465438758,0.193919666267,0.10448884218931198,0.02128012478351593,0.053216688334941864
Binh Dinh,Bình Định,4.27245892172,0.508187502872,0.10692834854125977,0.020656623774104647,0.03410636716418796
Binh Duong,Bình Dương,3.86997258661,0.222992212745,0.12674120664596558,0.04266759753227234,0.0030415073037147523
Binh Phuoc,Bình Phước,5.30830404619,0.569297813231,0.1126565933227539,0.02853876683447096,0.026289103759659663
Binh Thuan,Bình Thuận,5.69462416802,0.657010765737,0.11512598395347595,0.031032413244247437,0.03259587287902832
Ca Mau,Cà Mau,3.43907278237,0.433254886526,0.09955069848469325,0.01770312658378056,0.057870302881513326
Can Tho city,TP. Cần Thơ,1.86820867242,0.118899040366,0.11212994903326035,0.02915341407060623,0.10603773593902588
Cao Bang,Cao Bằng,5.6510218399,0.59172998351,0.11941723823547364,0.03186931312084198,0.007612435519695282
Da Nang city,TP. Đà Nẵng,8.86083321168,0.136166522539,0.11425447463989258,0.02682986669242382,0.003733332036063075
Dak Lak,Đăk Lắk,6.31574197782,1.08560739022,0.10621055434731876,0.02114920230472789,0.015683388008790856
Dak Nong,Đăk Nông,5.49608011245,0.541165554648,0.10014648735523224,0.015815407037734985,0.03516511619091034
Dien Bien,Điện Biên,8.43011823508,0.832865451086,0.13267396177564347,0.04679406114986965,0.028458989092281888
Dong Nai,Đồng Nai,5.34002137908,0.488356732368,0.12010318040847778,0.03599623590707779,0.019588662932316463
Dong Thap,Đồng Tháp,3.26243628929,0.279569181019,0.12363307476043701,0.040427488088607785,0.07276476621627807
Gia Lai,Gia Lai,6.98248939657,1.29666306227,0.10584749494280134,0.020716508229573567,0.013676705814543225
Ha Giang,Hà Giang,6.20073583235,0.699555761929,0.12423149022189053,0.036632976748726585,0.019860313697294754
Ha Nam,Hà Nam,1.73610077624,0.0746583548103,0.19866599142551422,0.11135183274745941,0.0665334016084671
Ha Noi,TP. Hà Nội,4.42640324545,0.291590739418,0.18269234895706177,0.09529095888137817,0.12141651908556621
Ha Tinh,Hà Tĩnh,5.15880573068,0.509947515813,0.12986328601837158,0.04285023510456085,0.02591666579246521
Hai Duong,Hải Dương,2.9083271929,0.145008125878,0.2069173057874044,0.11939877271652222,0.09284165501594543
Hai Phong city,TP. Hải Phòng,10.0949619862,0.122565839045,0.21067622303962708,0.12318119406700134,0.06841111183166504
Hau Giang,Hậu Giang,2.13817707679,0.133706631949,0.10917039215564728,0.02633492276072502,0.05730769410729408
Ho Chi Minh city,TP. Hồ Chí Minh,3.4861760979,0.168032196751,0.1490243673324585,0.06474801898002625,0.051790778835614525
Hoa Binh,Hòa Bình,4.87671223206,0.396963363475,0.1501728125980922,0.0632437254701342,0.03372851014137268
Hung Yen,Hưng Yên,1.72336767607,0.0806273692387,0.18751448392868042,0.1002865582704544,0.052954547107219696
Khanh Hoa,Khánh Hòa,32.9760147804,0.735334866743,0.10626595360892159,0.020888750042234148,0.019927731582096646
Kien Giang,Kiên Giang,8.50652744477,0.519839574765,0.11150474101305008,0.02895120531320572,0.06031334400177002
Kon Tum,Kon Tum,6.59600089962,0.812594617533,0.10309661229451497,0.018069815635681153,0.02186503012975057
Lai Chau,Lai Châu,7.10017829673,0.795316545759,0.11704591187563809,0.030437935482371937,0.036781370639801025
Lam Dong,Lâm Đồng,6.85573528205,0.811812761212,0.1006152970450265,0.015729176146643504,0.019584485462733676
Lang Son,Lạng Sơn,6.40626887292,0.728036629745,0.14176306459638807,0.05406761169433594,0.05404964420530531
Lao Cai,Lào Cai,5.16277284714,0.559034054045,0.12105529838138157,0.033201363351609975,0.01689412858751085
Long An,Long An,4.59008789706,0.372660942107,0.1383519649505615,0.0543121874332428,0.04828340411186218
Nam Dinh,Nam Định,2.78232629892,0.143195932808,0.16122778256734213,0.07373018066088359,0.1220483382542928
Nghe An,Nghệ An,7.57758987736,1.41981281855,0.13108181953430176,0.044450977444648744,0.024026374518871307
Ninh Binh,Ninh Bình,2.53641896064,0.118118173708,0.18660235404968262,0.09978939592838287,0.11887096613645554
Ninh Thuan,Ninh Thuận,3.27169535982,0.278674124665,0.11114880442619324,0.02680285523335139,0.021193936467170715
Phu Tho,Phú Thọ,3.27636946845,0.307937253943,0.141880065202713,0.054534465074539185,0.04101402312517166
Phu Yen,Phú Yên,4.96693558187,0.419590835897,0.10629711548487346,0.020840421319007874,0.026279136538505554
Quang Binh,Quảng Bình,5.0782718537,0.678738147139,0.12941481007470024,0.04226337538825141,0.02475138505299886
Quang Nam,Quảng Nam,6.15611073256,0.891320704891,0.1116863985856374,0.02458927532037099,0.03775090475877126
Quang Ngai,Quảng Ngãi,4.11180229692,0.432753076907,0.10346066951751709,0.01633590708176295,0.005769797911246617
Quang Ninh,Quảng Ninh,26.3573294402,0.516467803794,0.17351938618554008,0.08647115363015069,0.0942212012079027
Quang Tri,Quảng Trị,4.04884002572,0.390992021245,0.12867701053619385,0.04191718498865763,0.054689755042394005
Soc Trang,Sóc Trăng,2.82357081631,0.272347638612,0.10676348209381104,0.02422375977039337,0.05202594995498657
Son La,Sơn La,8.31453083861,1.22970253564,0.13483572006225586,0.04822381103740019,0.03800265929278206
Tay Ninh,Tây Ninh,3.6384630462,0.334641302448,0.12173089981079102,0.03797051906585693,0.006364067643880844
Thai Binh,Thái Bình,2.24459435047,0.143000640904,0.1720309555530548,0.08438324183225632,-0.007619047537446022
Thai Nguyen,Thái Nguyên,3.55012117881,0.307468437867,0.15920902291933695,0.07157708704471588,0.04288888971010844
Thanh Hoa,Thanh Hóa,7.07612225536,0.958160281974,0.14477742513020833,0.05764129956563314,0.02816736102104187
Thua Thien Hue,Thừa Thiên Huế,4.08830424896,0.425060383417,0.11482086777687073,0.027557749301195145,0.031898919492959976
Tien Giang,Tiền Giang,3.08077514535,0.199368319471,0.11982403695583344,0.036083560436964035,0.06406944990158081
Tra Vinh,Trà Vinh,1.99274452822,0.193366306279,0.10474475224812825,0.02190258850653966,0.044124444325764976
Tuyen Quang,Tuyên Quang,4.97507766279,0.513176420712,0.13330203294754028,0.045483559370040894,0.0491255484521389
Vinh Long,Vĩnh Long,2.07519490152,0.125807692888,0.10914048552513123,0.025467276573181152,0.102182537317276
Vinh Phuc,Vĩnh Phúc,1.8928019767,0.107687841544,0.1512339860200882,0.06358406692743301,0.0240625012665987
Yen Bai,Yên Bái,5.6700812364,0.60169014282,0.12651745080947877,0.038953402638435365,0.038005194067955016
