adm1_en,adm1_vi,shape_leng,shape_area,NO2_mean_2022,NO2_trop_mean_2022,NO2_mean_2023,NO2_trop_mean_2023,SO2_mean_2022,SO2_mean_2023
An Giang,An Giang,2.90074233985,0.292039907229,0.12100200653076172,0.03115223944187164,0.12100200653076172,0.030605006217956542,0.06591009497642517,0.06591009497642517
Ba Ria - Vung Tau,Bà Rịa - Vũng Tàu,3.41918728888,0.163032760989,0.1501305103302002,0.059942420572042465,0.1501305103302002,0.048475638031959534,0.0021340991370379925,0.0021340991370379925
Bac Giang,Bắc Giang,4.51478648204,0.338748110343,0.2048992117245992,0.10966424147288005,0.2048992117245992,0.11997116605440776,0.1198809842268626,0.1198809842268626
Bac Kan,Bắc Kạn,4.2075899114,0.425598326342,0.13260076443354288,0.03604465971390406,0.13260076443354288,0.04519841571648916,0.019669527808825176,0.019669527808825176
Bac Lieu,Bạc Liêu,2.87920169302,0.204049934715,0.11083535104990005,0.02092319168150425,0.11083535104990005,0.021353704854846,0.01031437050551176,0.01031437050551176
Bac Ninh,Bắc Ninh,1.68575080274,0.0714984213726,0.2066652625799179,0.11147109419107437,0.2066652625799179,0.11661650240421295,0.0949999988079071,0.0949999988079071
Ben Tre,Bến Tre,2.16465438758,0.193919666267,0.11931566894054413,0.02935182675719261,0.11931566894054413,0.02466646209359169,0.004990528337657452,0.004990528337657452
Binh Dinh,Bình Định,4.27245892172,0.508187502872,0.11175833808051215,0.021135528882344563,0.11175833808051215,0.019718597332636516,0.012058171961042616,0.012058171961042616
Binh Duong,Bình Dương,3.86997258661,0.222992212745,0.12685506343841552,0.03676925897598267,0.12685506343841552,0.033171269297599795,0.030849260091781617,0.030849260091781617
Binh Phuoc,Bình Phước,5.30830404619,0.569297813231,0.11830563015407985,0.028203623162375555,0.11830563015407985,0.02275885972711775,0.008598645528157553,0.008598645528157553
Binh Thuan,Bình Thuận,5.69462416802,0.657010765737,0.11980017026265462,0.02968943864107132,0.11980017026265462,0.028028984864552815,0.024238750338554382,0.024238750338554382
Ca Mau,Cà Mau,3.43907278237,0.433254886526,0.11053706066949028,0.020902224949428012,0.11053706066949028,0.018691769668034146,0.003222783761365073,0.003222783761365073
Can Tho city,TP. Cần Thơ,1.86820867242,0.118899040366,0.12217167764902115,0.0324394665658474,0.12217167764902115,0.024218982085585594,0.026440678164362907,0.026440678164362907
Cao Bang,Cao Bằng,5.6510218399,0.59172998351,0.1321306586265564,0.035708606243133545,0.1321306586265564,0.03865860402584076,0.029443156719207764,0.029443156719207764
Da Nang city,TP. Đà Nẵng,8.86083321168,0.136166522539,0.11959344893693924,0.027914850041270256,0.11959344893693924,0.022833870723843575,-0.011797753162682056,-0.011797753162682056
Dak Lak,Đăk Lắk,6.31574197782,1.08560739022,0.10924677989062141,0.01882120090372422,0.10924677989062141,0.01630029608221615,0.026520616867963004,0.026520616867963004
Dak Nong,Đăk Nông,5.49608011245,0.541165554648,0.10832878947257996,0.01804678700864315,0.10832878947257996,0.016247281804680824,0.03804050385951996,0.03804050385951996
Dien Bien,Điện Biên,8.43011823508,0.832865451086,0.12985935381480626,0.037693249327795844,0.12985935381480626,0.054350665637425015,0.04419325930731637,0.04419325930731637
Dong Nai,Đồng Nai,5.34002137908,0.488356732368,0.13088786602020264,0.04058557748794556,0.13088786602020264,0.03391309082508087,0.020965158939361572,0.020965158939361572
Dong Thap,Đồng Tháp,3.26243628929,0.279569181019,0.12844183444976806,0.03851973414421082,0.12844183444976806,0.0333426296710968,0.031514179706573484,0.031514179706573484
Gia Lai,Gia Lai,6.98248939657,1.29666306227,0.11299487522670201,0.022591571013132732,0.11299487522670201,0.018109579881032307,0.01943778424035935,0.01943778424035935
Ha Giang,Hà Giang,6.20073583235,0.699555761929,0.12986013022336093,0.03397320617328991,0.12986013022336093,0.036217415874654595,0.024462412704120983,0.024462412704120983
Ha Nam,Hà Nam,1.73610077624,0.0746583548103,0.20678368210792542,0.11231347918510437,0.20678368210792542,0.11984521150588989,0.03969655930995941,0.03969655930995941
Ha Noi,TP. Hà Nội,4.42640324545,0.291590739418,0.1849822203318278,0.09016094605127971,0.1849822203318278,0.10208119948705037,0.06391724944114685,0.06391724944114685
Ha Tinh,Hà Tĩnh,5.15880573068,0.509947515813,0.13626489639282227,0.04361538589000702,0.13626489639282227,0.053609037399291994,0.010009509325027467,0.010009509325027467
Hai Duong,Hải Dương,2.9083271929,0.145008125878,0.20971035957336426,0.11479716002941132,0.20971035957336426,0.10839295387268066,0.07698485255241394,0.07698485255241394
Hai Phong city,TP. Hải Phòng,10.0949619862,0.122565839045,0.2224903404712677,0.1277654618024826,0.2224903404712677,0.12452245503664017,0.07037197053432465,0.07037197053432465
Hau Giang,Hậu Giang,2.13817707679,0.133706631949,0.10814505815505981,0.018109945580363274,0.10814505815505981,0.022145221009850502,0.021764704957604408,0.021764704957604408
Ho Chi Minh city,TP. Hồ Chí Minh,3.4861760979,0.168032196751,0.15251521269480386,0.06233837207158407,0.15251521269480386,0.04754261175791422,0.04064678152402242,0.04064678152402242
Hoa Binh,Hòa Bình,4.87671223206,0.396963363475,0.16308297429765975,0.06927971754755292,0.16308297429765975,0.07607081958225795,0.05698738779340472,0.05698738779340472
Hung Yen,Hưng Yên,1.72336767607,0.0806273692387,0.20539666712284088,0.11078576743602753,0.20539666712284088,0.11263380944728851,0.08446428179740906,0.08446428179740906
Khanh Hoa,Khánh Hòa,32.9760147804,0.735334866743,0.1081371818270002,0.018024331757000515,0.1081371818270002,0.018495574593544006,0.022154571754591807,0.022154571754591807
Kien Giang,Kiên Giang,8.50652744477,0.519839574765,0.11446285247802734,0.024689654509226482,0.11446285247802734,0.02375498910744985,-0.008118700650003221,-0.008118700650003221
Kon Tum,Kon Tum,6.59600089962,0.812594617533,0.10832393169403076,0.017791102329889934,0.10832393169403076,0.015519279241561889,0.006657545268535614,0.006657545268535614
Lai Chau,Lai Châu,7.10017829673,0.795316545759,0.12421911413019354,0.03161060539158908,0.12421911413019354,0.04373248327862133,0.050732666795903984,0.050732666795903984
Lam Dong,Lâm Đồng,6.85573528205,0.811812761212,0.106226989201137,0.016050671892506734,0.106226989201137,0.015511945954390935,0.04217184867177691,0.04217184867177691
Lang Son,Lạng Sơn,6.40626887292,0.728036629745,0.1494048171573215,0.05376134316126505,0.1494048171573215,0.06202758683098687,0.009820009271303812,0.009820009271303812
Lao Cai,Lào Cai,5.16277284714,0.559034054045,0.12872317102220324,0.033912847439448036,0.12872317102220324,0.037902613480885826,0.023777481582429674,0.023777481582429674
Long An,Long An,4.59008789706,0.372660942107,0.14364196062088014,0.0537001371383667,0.14364196062088014,0.045905017852783205,0.02065039277076721,0.02065039277076721
Nam Dinh,Nam Định,2.78232629892,0.143195932808,0.17002079884211221,0.07597039639949799,0.17002079884211221,0.08059561252593994,-0.010444646080334982,-0.010444646080334982
Nghe An,Nghệ An,7.57758987736,1.41981281855,0.13745659589767456,0.04488005936145782,0.13745659589767456,0.055995404720306396,0.029479983448982238,0.029479983448982238
Ninh Binh,Ninh Bình,2.53641896064,0.118118173708,0.2076227217912674,0.11350441724061966,0.2076227217912674,0.12343312054872513,-0.012394365854561329,-0.012394365854561329
Ninh Thuan,Ninh Thuận,3.27169535982,0.278674124665,0.12468069791793823,0.03468091289202372,0.12468069791793823,0.02316269526878993,0.008355370412270227,0.008355370412270227
Phu Tho,Phú Thọ,3.27636946845,0.307937253943,0.14485594630241394,0.05017739161849022,0.14485594630241394,0.06098505109548569,0.07223664224147797,0.07223664224147797
Phu Yen,Phú Yên,4.96693558187,0.419590835897,0.11072357495625813,0.020418761918942135,0.11072357495625813,0.01905583217740059,0.015532461305459341,0.015532461305459341
Quang Binh,Quảng Bình,5.0782718537,0.678738147139,0.13356410132514107,0.04141020112567478,0.13356410132514107,0.053716434372795954,0.005347349163558748,0.005347349163558748
Quang Nam,Quảng Nam,6.15611073256,0.891320704891,0.11128352085749309,0.019742147376139958,0.11128352085749309,0.01611519604921341,0.017100219925244648,0.017100219925244648
Quang Ngai,Quảng Ngãi,4.11180229692,0.432753076907,0.10653840502103169,0.015472056965033213,0.10653840502103169,0.016704102357228596,-0.004891236002246539,-0.004891236002246539
Quang Ninh,Quảng Ninh,26.3573294402,0.516467803794,0.17848314344882965,0.08406820893287659,0.17848314344882965,0.08621563017368317,0.059982359409332275,0.059982359409332275
Quang Tri,Quảng Trị,4.04884002572,0.390992021245,0.1253667672475179,0.03381198892990748,0.1253667672475179,0.03683702150980631,0.03424899776776632,0.03424899776776632
Soc Trang,Sóc Trăng,2.82357081631,0.272347638612,0.11965358257293701,0.029495936632156373,0.11965358257293701,0.019664599001407622,0.03576790690422058,0.03576790690422058
Son La,Sơn La,8.31453083861,1.22970253564,0.13312956866096048,0.04025395126903758,0.13312956866096048,0.057082330479341394,0.006320359952309553,0.006320359952309553
Tay Ninh,Tây Ninh,3.6384630462,0.334641302448,0.12823528051376343,0.03835089802742005,0.12823528051376343,0.02925845980644226,0.02641975283622742,0.02641975283622742
Thai Binh,Thái Bình,2.24459435047,0.143000640904,0.17774821817874908,0.0833153948187828,0.17774821817874908,0.08859743922948837,0.029230769723653793,0.029230769723653793
Thai Nguyen,Thái Nguyên,3.55012117881,0.307468437867,0.15420577923456827,0.058314974109331764,0.15420577923456827,0.07914647956689198,0.013408596316973368,0.013408596316973368
Thanh Hoa,Thanh Hóa,7.07612225536,0.958160281974,0.15514707565307617,0.06167219579219818,0.15514707565307617,0.07053433358669281,0.04045362025499344,0.04045362025499344
Thua Thien Hue,Thừa Thiên Huế,4.08830424896,0.425060383417,0.11709187179803848,0.025413282215595245,0.11709187179803848,0.020511871203780174,0.04950520023703575,0.04950520023703575
Tien Giang,Tiền Giang,3.08077514535,0.199368319471,0.13178947567939758,0.0417349636554718,0.13178947567939758,0.032276954501867294,0.0025003834161907434,0.0025003834161907434
Tra Vinh,Trà Vinh,1.99274452822,0.193366306279,0.12046165267626445,0.030207162102063496,0.12046165267626445,0.02211498220761617,0.025210147102673847,0.025210147102673847
Tuyen Quang,Tuyên Quang,4.97507766279,0.513176420712,0.1390189379453659,0.04233396798372269,0.1390189379453659,0.051685407757759094,0.031396858394145966,0.031396858394145966
Vinh Long,Vĩnh Long,2.07519490152,0.125807692888,0.12803584337234497,0.03796190395951271,0.12803584337234497,0.02297811210155487,0.032303474843502045,0.032303474843502045
Vinh Phuc,Vĩnh Phúc,1.8928019767,0.107687841544,0.16697680950164795,0.07126837968826294,0.16697680950164795,0.08670519292354584,0.07100000232458115,0.07100000232458115
Yen Bai,Yên Bái,5.6700812364,0.60169014282,0.13368806838989258,0.03860771954059601,0.13368806838989258,0.049287617206573486,0.04463771879673004,0.04463771879673004
